date,game,season,tournament,gameLength,firstPoints,firstNick,secondPoints,secondNick,thirdPoints,thirdNick,fourthPoints,fourthNick
03/09/2016,1,1,,H,-51.0,Koki,-16.0,Naoko,63.0,Nico,4.0,Pato
03/09/2016,2,1,,H,-43.0,Koki,11.0,Mayra,-15.0,Naoko,47.0,Nico
03/09/2016,3,1,,H,65.0,Bata,-58.0,Juli F,-18.0,Mayra,11.0,Nico
03/09/2016,4,1,,H,-41.0,Bata,61.0,Ezequiel,6.0,Nico,-26.0,Pato
03/09/2016,5,1,,T,42.0,Bata,7.0,Ezequiel,-16.0,Nico,-33.0,Pato
03/09/2016,6,1,,H,9.0,Koki,-14.0,Mayra,-38.0,Naoko,43.0,Pedro
03/09/2016,7,1,,H,-53.0,Koki,6.0,Mati,65.0,Naoko,-18.0,Pedro
24/09/2016,8,1,,H,-16.0,Alejandro,-40.0,Haku/Kozi,12.0,Mati,44.0,Mayra
02/10/2016,9,1,,T,6.0,Ezequiel,-16.0,Mati,44.0,Nico,-34.0,Pato
02/10/2016,10,1,,T,6.0,Chiwi,-15.0,Ezequiel,-29.0,Mati,38.0,Nico
02/10/2016,11,1,,T,9.0,Chiwi,-14.0,Ezequiel,41.0,Lui,-36.0,Nico
02/10/2016,12,1,,T,-21.0,Bata,-42.0,Ezequiel,54.0,Lui,9.0,Mati
22/10/2016,13,1,,H,-26.0,Ezequiel,49.0,Figo/Iori,18.0,Naoko,-41.0,Nico
22/10/2016,14,1,,H,-1.0,Alejandro,-30.0,Davy,-40.0,Ezequiel,71.0,Figo/Iori
22/10/2016,15,1,,H,7.0,Ezequiel,-32.0,Koki,40.0,Naoko,-15.0,Pato
22/10/2016,16,1,,H,-21.0,Adriel,2.0,Koki,-38.0,Mati,57.0,Pato
22/10/2016,17,1,,T,10.0,Daniela,-12.0,Ezequiel,45.0,Koki,-43.0,Naoko
01/11/2016,18,1,,H,-54.0,Haku/Kozi,-22.0,Nico,56.0,Pato,20.0,Pedro
01/11/2016,19,1,,H,-17.0,Haku/Kozi,10.0,Nico,48.0,Pato,-41.0,Pedro
04/11/2016,20,1,,H,13.0,Haku/Kozi,-8.0,Nico,44.0,Pedro,-49.0,Wapuro
06/11/2016,21,1,,H,-42.0,Bata,-28.0,Chiwi,52.0,Lautaro (LP) DiG.,18.0,Nico
06/11/2016,22,1,,H,-41.0,Chiwi,-21.0,Lautaro (LP) DiG.,49.0,Mati,13.0,Nico
